pair_id,chr,geneA,startA,endA,strandA,geneB,startB,endB,strandB,distance,species,no. of effective observations,BDP activity,,species,
0,1,AT1G01100,49909,51210,-,AT1G01110,51953,54737,+,743,arabidopsis,22918,0.02790778,,arabidopsis,2198
1,1,AT1G01150,69911,72138,-,AT1G01160,72339,74096,+,201,arabidopsis,8475,0.244391908,,maize,536
2,1,AT1G01170,73931,74737,-,AT1G01180,75390,76845,+,653,arabidopsis,24942,0.131491334,,rice,945
3,1,AT1G01200,86486,88409,-,AT1G01210,88622,90502,+,213,arabidopsis,20605,0.149218093,,wheat,845
4,1,AT1G01340,132270,135924,-,AT1G01350,136090,138162,+,166,arabidopsis,23930,0.008480239,,total,4524
5,1,AT1G01453,166589,168088,-,AT1G01460,168559,171386,+,471,arabidopsis,2085,-0.250437352,,,
6,1,AT1G01680,246262,248440,-,AT1G01690,249041,252522,+,601,arabidopsis,14575,-0.156669744,,,
7,1,AT1G01740,272111,274930,-,AT1G01750,275188,276310,+,258,arabidopsis,18972,-0.134195225,,,
8,1,AT1G01760,276266,278599,-,AT1G01770,278600,282891,+,1,arabidopsis,22310,0.402936958,,,
9,1,AT1G01880,306467,309541,-,AT1G01900,310169,313130,+,628,arabidopsis,21084,0.212891915,,,
10,1,AT1G01960,330588,337912,-,AT1G01970,338241,340088,+,329,arabidopsis,25217,0.207182216,,,
11,1,AT1G02090,387277,389808,-,AT1G02100,389812,392816,+,4,arabidopsis,25457,0.154955219,,,
12,1,AT1G02140,403100,404456,-,AT1G02145,404600,408619,+,144,arabidopsis,24789,-0.256823648,,,
13,1,AT1G02180,413522,414649,-,AT1G02190,415074,418027,+,425,arabidopsis,12034,0.471250463,,,
14,1,AT1G02290,450461,452743,-,AT1G02300,453107,455519,+,364,arabidopsis,23313,0.113807851,,,
15,1,AT1G02310,458133,460831,-,AT1G02320,461828,461974,+,997,arabidopsis,3858,0.084619894,,,
16,1,AT1G02405,489874,490627,-,AT1G02410,490860,492979,+,233,arabidopsis,19610,0.041879994,,,
17,1,AT1G02610,553019,556152,-,AT1G02620,557092,558774,+,940,arabidopsis,13894,0.583431418,,,
18,1,AT1G02660,571826,575085,-,AT1G02670,575922,580532,+,837,arabidopsis,20737,0.180048992,,,
19,1,AT1G02740,599330,602199,-,AT1G02750,602489,604387,+,290,arabidopsis,24367,0.377185278,,,
20,1,AT1G03000,687795,692660,-,AT1G03010,693190,696504,+,530,arabidopsis,18835,-0.058657629,,,
21,1,AT1G03040,703847,706689,-,AT1G03050,707485,710041,+,796,arabidopsis,7028,-0.116610989,,,
22,1,AT1G03100,743885,746701,-,AT1G03103,747197,748057,+,496,arabidopsis,1461,0.037450705,,,
23,1,AT1G03106,748101,749034,-,AT1G03110,749246,751976,+,212,arabidopsis,16112,-0.052180868,,,
24,1,AT1G03140,754261,756303,-,AT1G03150,756414,758678,+,111,arabidopsis,25086,0.178245947,,,
